,Air temperature (°C),Air temperature (°C),Air temperature (°C),Air temperature (°C),Air temperature (°C),Air temperature (°C)
,North Zone,East Zone,South Zone,Internal Zone,West Zone,ROOF
,Small_Office.aps,Small_Office.aps,Small_Office.aps,Small_Office.aps,Small_Office.aps,Small_Office.aps
datetime,,,,,,
2003-01-01 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 05:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 06:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 07:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 08:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 09:30:00,19.0,19.0,19.02,19.0,19.0,19.0
2003-01-01 10:30:00,19.0,19.0,19.46,19.0,19.0,19.0
2003-01-01 11:30:00,19.0,19.0,20.12,19.0,19.0,19.0
2003-01-01 12:30:00,19.0,19.0,20.42,19.0,19.0,19.0
2003-01-01 13:30:00,19.0,19.0,20.12,19.0,19.0,19.0
2003-01-01 14:30:00,19.0,19.0,19.44,19.0,19.0,19.0
2003-01-01 15:30:00,19.0,19.0,19.01,19.0,19.0,19.0
2003-01-01 16:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 17:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 18:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 19:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 20:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 21:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 22:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-01 23:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 05:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 06:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 07:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 08:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 09:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 10:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 11:30:00,19.0,19.0,19.06,19.0,19.0,19.0
2003-01-02 12:30:00,19.0,19.0,19.33,19.0,19.0,19.0
2003-01-02 13:30:00,19.0,19.0,19.48,19.0,19.0,19.0
2003-01-02 14:30:00,19.0,19.0,19.34,19.0,19.0,19.0
2003-01-02 15:30:00,19.0,19.0,19.02,19.0,19.0,19.0
2003-01-02 16:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 17:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 18:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 19:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 20:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 21:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 22:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-02 23:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 05:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 06:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 07:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 08:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 09:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 10:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 11:30:00,19.0,19.0,19.03,19.0,19.0,19.0
2003-01-03 12:30:00,19.0,19.0,19.22,19.0,19.0,19.0
2003-01-03 13:30:00,19.0,19.0,19.1,19.0,19.0,19.0
2003-01-03 14:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 15:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 16:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 17:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 18:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 19:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 20:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 21:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 22:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-03 23:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 05:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 06:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 07:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 08:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 09:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 10:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 11:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 12:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 13:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 14:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 15:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 16:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 17:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 18:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 19:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 20:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 21:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 22:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-04 23:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 05:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 06:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 07:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 08:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 09:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 10:30:00,19.0,19.0,19.22,19.0,19.0,19.0
2003-01-05 11:30:00,19.0,19.0,19.8,19.0,19.0,19.0
2003-01-05 12:30:00,19.0,19.0,20.18,19.0,19.0,19.0
2003-01-05 13:30:00,19.0,19.0,20.16,19.0,19.0,19.0
2003-01-05 14:30:00,19.0,19.0,19.83,19.0,19.0,19.0
2003-01-05 15:30:00,19.0,19.0,19.22,19.0,19.0,19.0
2003-01-05 16:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 17:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 18:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 19:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 20:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 21:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 22:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-05 23:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 05:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 06:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 07:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 08:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 09:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 10:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 11:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 12:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 13:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 14:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 15:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 16:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 17:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 18:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 19:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 20:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 21:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 22:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-06 23:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-07 00:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-07 01:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-07 02:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-07 03:30:00,19.0,19.0,19.0,19.0,19.0,19.0
2003-01-07 04:30:00,19.0,19.0,19.0,19.0,19.0,19.0
