		Dry-bulb temperature (°C)
		
Date	Time	KEW.FWT
Wed, 01/Jan	24:00	
	01:00	4.80
	02:00	4.70
	03:00	4.30
	04:00	4.00
	05:00	3.80
	06:00	3.40
	07:00	3.20
	08:00	3.10
	09:00	3.20
	10:00	3.70
	11:00	4.80
	12:00	6.00
	13:00	6.60
	14:00	6.90
	15:00	6.70
	16:00	6.00
	17:00	5.40
	18:00	4.60
	19:00	3.60
	20:00	2.90
	21:00	2.70
	22:00	2.00
	23:00	1.20
Thu, 02/Jan	24:00	1.00
	01:00	0.60
	02:00	0.80
	03:00	0.10
	04:00	0.10
	05:00	0.20
	06:00	0.10
	07:00	0.60
	08:00	0.50
	09:00	1.00
	10:00	1.20
	11:00	1.70
	12:00	2.40
	13:00	3.10
	14:00	3.50
	15:00	3.60
	16:00	3.00
	17:00	2.20
	18:00	1.70
	19:00	1.10
	20:00	0.60
	21:00	0.40
	22:00	-1.00
	23:00	0.00
Fri, 03/Jan	24:00	-0.50
	01:00	-1.10
	02:00	-1.40
	03:00	-1.10
	04:00	-0.40
	05:00	-0.10
	06:00	-0.50
	07:00	-0.70
	08:00	-0.60
	09:00	0.00
	10:00	0.40
	11:00	1.20
	12:00	1.80
	13:00	2.30
	14:00	2.20
	15:00	2.20
	16:00	2.00
	17:00	1.40
	18:00	1.20
	19:00	1.20
	20:00	1.10
	21:00	1.10
	22:00	1.10
	23:00	1.20
Sat, 04/Jan	24:00	1.00
	01:00	1.00
	02:00	0.80
	03:00	0.90
	04:00	0.90
	05:00	1.00
	06:00	1.20
	07:00	0.50
	08:00	0.40
	09:00	0.30
	10:00	0.80
	11:00	1.40
	12:00	2.40
	13:00	3.00
	14:00	3.20
	15:00	2.90
	16:00	2.50
	17:00	1.20
	18:00	0.60
	19:00	0.40
	20:00	-0.40
	21:00	-0.70
	22:00	-1.40
	23:00	-1.50
Sun, 05/Jan	24:00	-1.40
	01:00	-1.30
	02:00	-1.20
	03:00	-1.80
	04:00	-1.90
	05:00	-2.50
	06:00	-3.10
	07:00	-3.20
	08:00	-3.10
	09:00	-2.80
	10:00	-0.90
	11:00	0.00
	12:00	2.10
	13:00	3.20
	14:00	3.60
	15:00	3.30
	16:00	2.80
	17:00	1.60
	18:00	1.30
	19:00	1.60
	20:00	1.90
	21:00	2.10
	22:00	2.20
	23:00	2.20
Mon, 06/Jan	24:00	2.20
	01:00	2.40
	02:00	2.60
	03:00	2.80
	04:00	3.10
	05:00	3.10
	06:00	3.30
	07:00	3.20
	08:00	3.50
	09:00	3.60
	10:00	4.00
	11:00	4.60
	12:00	4.90
	13:00	5.20
	14:00	5.20
	15:00	5.20
	16:00	4.90
	17:00	4.80
	18:00	5.00
	19:00	5.10
	20:00	5.30
	21:00	5.40
	22:00	5.70
	23:00	6.10
Tue, 07/Jan	24:00	6.20
	01:00	6.10
	02:00	6.00
	03:00	6.20
	04:00	6.60
	05:00	7.20
	06:00	7.20
	07:00	7.20
	08:00	7.90
	09:00	8.00
	10:00	7.90
	11:00	8.20
	12:00	8.90
	13:00	8.60
	14:00	8.60
	15:00	8.90
	16:00	8.80
	17:00	8.90
	18:00	9.30
	19:00	9.40
	20:00	9.60
	21:00	10.10
	22:00	10.20
	23:00	10.20
Wed, 08/Jan	24:00	10.10
	01:00	9.90
	02:00	9.80
	03:00	10.00
	04:00	10.40
	05:00	10.40
	06:00	10.40
	07:00	10.70
	08:00	10.40
	09:00	10.50
	10:00	10.50
	11:00	10.50
	12:00	8.60
	13:00	8.80
	14:00	9.00
	15:00	9.20
	16:00	8.60
	17:00	7.90
	18:00	7.20
	19:00	6.70
	20:00	5.80
	21:00	5.60
	22:00	5.60
	23:00	5.30
Thu, 09/Jan	24:00	5.10
	01:00	4.70
	02:00	4.10
	03:00	3.40
	04:00	3.50
	05:00	4.10
	06:00	4.10
	07:00	3.80
	08:00	4.00
	09:00	4.40
	10:00	5.70
	11:00	6.80
	12:00	7.40
	13:00	8.30
	14:00	8.70
	15:00	9.80
	16:00	9.30
	17:00	10.00
	18:00	10.00
	19:00	10.00
	20:00	9.90
	21:00	9.90
	22:00	9.70
	23:00	9.20
Fri, 10/Jan	24:00	9.30
	01:00	9.20
	02:00	9.10
	03:00	9.20
	04:00	9.10
	05:00	8.80
	06:00	8.90
	07:00	9.00
	08:00	9.00
	09:00	9.20
	10:00	9.20
	11:00	9.50
	12:00	9.90
	13:00	9.90
	14:00	9.80
	15:00	9.70
	16:00	9.50
	17:00	9.50
	18:00	9.50
	19:00	9.20
	20:00	9.10
	21:00	9.20
	22:00	9.30
	23:00	9.70
Sat, 11/Jan	24:00	9.50
	01:00	9.50
	02:00	9.50
	03:00	9.70
	04:00	9.60
	05:00	9.70
	06:00	9.70
	07:00	10.20
	08:00	10.30
	09:00	10.70
	10:00	11.10
	11:00	11.20
	12:00	11.70
	13:00	11.70
	14:00	11.60
	15:00	11.20
	16:00	10.80
	17:00	10.30
	18:00	9.90
	19:00	9.70
	20:00	9.40
	21:00	9.20
	22:00	8.90
	23:00	8.70
Sun, 12/Jan	24:00	8.70
	01:00	8.80
	02:00	8.70
	03:00	8.80
	04:00	8.80
	05:00	8.90
	06:00	8.80
	07:00	8.50
	08:00	8.30
	09:00	8.80
	10:00	9.20
	11:00	9.50
	12:00	8.90
	13:00	8.20
	14:00	8.20
