		Air temperature (°C)
		South Zone
Date	Time	Small_Office.aps
Wed, 01/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.02
	10:30	19.46
	11:30	20.12
	12:30	20.42
	13:30	20.12
	14:30	19.44
	15:30	19.01
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Thu, 02/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.06
	12:30	19.33
	13:30	19.48
	14:30	19.34
	15:30	19.02
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Fri, 03/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.03
	12:30	19.22
	13:30	19.10
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Sat, 04/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Sun, 05/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.22
	11:30	19.80
	12:30	20.18
	13:30	20.16
	14:30	19.83
	15:30	19.22
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Mon, 06/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Tue, 07/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Wed, 08/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Thu, 09/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Fri, 10/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Sat, 11/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.03
	11:30	19.41
	12:30	19.43
	13:30	19.02
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Sun, 12/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Mon, 13/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Tue, 14/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.04
	11:30	19.59
	12:30	20.30
	13:30	20.52
	14:30	20.10
	15:30	19.36
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Wed, 15/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.31
	12:30	19.88
	13:30	19.99
	14:30	19.61
	15:30	19.06
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Thu, 16/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Fri, 17/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.08
	11:30	19.34
	12:30	19.35
	13:30	19.07
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Sat, 18/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.00
	11:30	19.00
	12:30	19.00
	13:30	19.00
	14:30	19.00
	15:30	19.00
	16:30	19.00
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Sun, 19/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
	10:30	19.24
	11:30	19.84
	12:30	20.11
	13:30	20.14
	14:30	20.07
	15:30	19.62
	16:30	19.07
	17:30	19.00
	18:30	19.00
	19:30	19.00
	20:30	19.00
	21:30	19.00
	22:30	19.00
	23:30	19.00
Mon, 20/Jan	00:30	19.00
	01:30	19.00
	02:30	19.00
	03:30	19.00
	04:30	19.00
	05:30	19.00
	06:30	19.00
	07:30	19.00
	08:30	19.00
	09:30	19.00
