		Air temperature (°C)	Dry-bulb temperature (°C)
		South Zone	
Date	Time	Small_Office.aps	KEW.FWT
Wed, 01/Jan	24:00		
	00:30	19.00	
	01:00		4.80
	01:30	19.00	
	02:00		4.70
	02:30	19.00	
	03:00		4.30
	03:30	19.00	
	04:00		4.00
	04:30	19.00	
	05:00		3.80
	05:30	19.00	
	06:00		3.40
	06:30	19.00	
	07:00		3.20
	07:30	19.00	
	08:00		3.10
	08:30	19.00	
	09:00		3.20
	09:30	19.02	
	10:00		3.70
	10:30	19.46	
	11:00		4.80
	11:30	20.12	
	12:00		6.00
	12:30	20.42	
	13:00		6.60
	13:30	20.12	
	14:00		6.90
	14:30	19.44	
	15:00		6.70
	15:30	19.01	
	16:00		6.00
	16:30	19.00	
	17:00		5.40
	17:30	19.00	
	18:00		4.60
	18:30	19.00	
	19:00		3.60
	19:30	19.00	
	20:00		2.90
	20:30	19.00	
	21:00		2.70
	21:30	19.00	
	22:00		2.00
	22:30	19.00	
	23:00		1.20
	23:30	19.00	
Thu, 02/Jan	24:00		1.00
	00:30	19.00	
	01:00		0.60
	01:30	19.00	
	02:00		0.80
	02:30	19.00	
	03:00		0.10
	03:30	19.00	
	04:00		0.10
	04:30	19.00	
	05:00		0.20
	05:30	19.00	
	06:00		0.10
	06:30	19.00	
	07:00		0.60
	07:30	19.00	
	08:00		0.50
	08:30	19.00	
	09:00		1.00
	09:30	19.00	
	10:00		1.20
	10:30	19.00	
	11:00		1.70
	11:30	19.06	
	12:00		2.40
	12:30	19.33	
	13:00		3.10
	13:30	19.48	
	14:00		3.50
	14:30	19.34	
	15:00		3.60
	15:30	19.02	
	16:00		3.00
	16:30	19.00	
	17:00		2.20
	17:30	19.00	
	18:00		1.70
	18:30	19.00	
	19:00		1.10
	19:30	19.00	
	20:00		0.60
	20:30	19.00	
	21:00		0.40
	21:30	19.00	
	22:00		-1.00
	22:30	19.00	
	23:00		0.00
	23:30	19.00	
Fri, 03/Jan	24:00		-0.50
	00:30	19.00	
	01:00		-1.10
	01:30	19.00	
	02:00		-1.40
	02:30	19.00	
	03:00		-1.10
	03:30	19.00	
	04:00		-0.40
	04:30	19.00	
	05:00		-0.10
	05:30	19.00	
	06:00		-0.50
	06:30	19.00	
	07:00		-0.70
	07:30	19.00	
	08:00		-0.60
	08:30	19.00	
	09:00		0.00
	09:30	19.00	
	10:00		0.40
	10:30	19.00	
	11:00		1.20
	11:30	19.03	
	12:00		1.80
	12:30	19.22	
	13:00		2.30
	13:30	19.10	
	14:00		2.20
	14:30	19.00	
	15:00		2.20
	15:30	19.00	
	16:00		2.00
	16:30	19.00	
	17:00		1.40
	17:30	19.00	
	18:00		1.20
	18:30	19.00	
	19:00		1.20
	19:30	19.00	
	20:00		1.10
	20:30	19.00	
	21:00		1.10
	21:30	19.00	
	22:00		1.10
