datetime,External dew-point temp. (°C),Global radiation (W/m²),Max. adaptive temp. (°C),Daily running mean temp. (°C),Direct radiation (W/m²),Wet-bulb temperature (°C),Wind speed (m/s),Solar azimuth (deg.),Diffuse radiation (W/m²),Dry-bulb temperature (°C)
2003-01-01 00:30:00,,,,,,,,,,
2003-01-01 01:30:00,2.08,0.000,23.02,3.69,0.000,3.60,5.00,25.7,0.000,4.80
2003-01-01 02:30:00,2.22,0.000,23.02,3.69,0.000,3.60,6.00,48.8,0.000,4.70
2003-01-01 03:30:00,1.77,0.000,23.02,3.69,0.000,3.20,5.00,66.5,0.000,4.30
2003-01-01 04:30:00,1.69,0.000,23.02,3.69,0.000,3.00,5.00,80.6,0.000,4.00
2003-01-01 05:30:00,1.72,0.000,23.02,3.69,0.000,2.90,4.00,92.7,0.000,3.80
2003-01-01 06:30:00,1.78,0.000,23.02,3.69,0.000,2.70,4.00,103.9,0.000,3.40
2003-01-01 07:30:00,1.32,0.000,23.02,3.69,0.000,2.40,3.00,114.9,0.000,3.20
2003-01-01 08:30:00,1.21,16.000,23.02,3.69,0.000,2.30,3.00,126.2,16.000,3.10
2003-01-01 09:30:00,1.07,52.000,23.02,3.69,279.541,2.30,3.00,138.1,26.000,3.20
2003-01-01 10:30:00,1.61,132.000,23.02,3.69,455.476,2.80,3.00,151.0,47.000,3.70
2003-01-01 11:30:00,2.08,198.000,23.02,3.69,555.181,3.60,4.00,164.6,61.000,4.80
2003-01-01 12:30:00,2.44,210.000,23.02,3.69,534.607,4.40,4.00,178.9,66.000,6.00
2003-01-01 13:30:00,2.39,164.000,23.02,3.69,363.855,4.70,4.00,193.2,72.000,6.60
2003-01-01 14:30:00,2.26,103.000,23.02,3.69,156.276,4.80,4.00,206.9,72.000,6.90
2003-01-01 15:30:00,2.27,39.000,23.02,3.69,54.732,4.70,5.00,219.9,33.000,6.70
2003-01-01 16:30:00,2.20,0.000,23.02,3.69,0.000,4.30,3.00,232.0,0.000,6.00
2003-01-01 17:30:00,2.26,0.000,23.02,3.69,0.000,4.00,2.00,243.4,0.000,5.40
2003-01-01 18:30:00,1.61,0.000,23.02,3.69,0.000,3.30,3.00,254.4,0.000,4.60
2003-01-01 19:30:00,1.50,0.000,23.02,3.69,0.000,2.70,2.00,265.5,0.000,3.60
2003-01-01 20:30:00,1.00,0.000,23.02,3.69,0.000,2.10,2.00,277.4,0.000,2.90
2003-01-01 21:30:00,0.78,0.000,23.02,3.69,0.000,1.90,2.00,291.1,0.000,2.70
2003-01-01 22:30:00,0.54,0.000,23.02,3.69,0.000,1.40,2.00,308.1,0.000,2.00
2003-01-01 23:30:00,-0.26,0.000,23.02,3.69,0.000,0.60,1.00,330.3,0.000,1.20
2003-01-02 00:30:00,-0.45,0.000,23.02,3.69,0.000,0.40,2.00,357.7,0.000,1.00
2003-01-02 01:30:00,-0.59,0.000,23.04,3.77,0.000,0.10,2.00,25.5,0.000,0.60
2003-01-02 02:30:00,-0.64,0.000,23.04,3.77,0.000,0.20,2.00,48.6,0.000,0.80
2003-01-02 03:30:00,-0.80,0.000,23.04,3.77,0.000,-0.30,2.00,66.3,0.000,0.10
2003-01-02 04:30:00,-0.80,0.000,23.04,3.77,0.000,-0.30,2.00,80.4,0.000,0.10
2003-01-02 05:30:00,-0.92,0.000,23.04,3.77,0.000,-0.30,2.00,92.5,0.000,0.20
2003-01-02 06:30:00,-1.03,0.000,23.04,3.77,0.000,-0.40,2.00,103.7,0.000,0.10
2003-01-02 07:30:00,-0.82,0.000,23.04,3.77,0.000,0.00,2.00,114.7,0.000,0.60
2003-01-02 08:30:00,-0.84,17.000,23.04,3.77,0.000,-0.10,2.00,126.0,17.000,0.50
2003-01-02 09:30:00,-0.45,33.000,23.04,3.77,10.702,0.40,2.00,138.0,32.000,1.00
2003-01-02 10:30:00,-0.73,86.000,23.04,3.77,122.778,0.40,2.00,150.8,63.000,1.20
2003-01-02 11:30:00,-0.49,148.000,23.04,3.77,266.363,0.80,2.00,164.5,82.000,1.70
2003-01-02 12:30:00,-0.05,178.000,23.04,3.77,336.198,1.40,3.00,178.8,87.000,2.40
2003-01-02 13:30:00,-0.05,166.000,23.04,3.77,345.849,1.80,3.00,193.1,78.000,3.10
2003-01-02 14:30:00,-0.85,121.000,23.04,3.77,314.678,1.70,3.00,206.9,58.000,3.50
2003-01-02 15:30:00,-1.00,46.000,23.04,3.77,206.008,1.70,4.00,219.9,23.000,3.60
2003-01-02 16:30:00,-1.13,0.000,23.04,3.77,0.000,1.30,3.00,232.0,0.000,3.00
2003-01-02 17:30:00,-0.96,0.000,23.04,3.77,0.000,0.90,3.00,243.4,0.000,2.20
2003-01-02 18:30:00,-1.46,0.000,23.04,3.77,0.000,0.40,3.00,254.4,0.000,1.70
2003-01-02 19:30:00,-1.31,0.000,23.04,3.77,0.000,0.10,2.00,265.5,0.000,1.10
2003-01-02 20:30:00,-1.45,0.000,23.04,3.77,0.000,-0.30,2.00,277.4,0.000,0.60
2003-01-02 21:30:00,-1.42,0.000,23.04,3.77,0.000,-0.40,2.00,291.1,0.000,0.40
2003-01-02 22:30:00,-2.44,0.000,23.04,3.77,0.000,-1.60,0.00,308.1,0.000,-1.00
2003-01-02 23:30:00,-1.62,0.000,23.04,3.77,0.000,-0.70,3.00,330.2,0.000,0.00
2003-01-03 00:30:00,-1.66,0.000,23.04,3.77,0.000,-1.00,2.00,357.5,0.000,-0.50
2003-01-03 01:30:00,-2.54,0.000,22.87,3.24,0.000,-1.70,1.00,25.2,0.000,-1.10
2003-01-03 02:30:00,-2.61,0.000,22.87,3.24,0.000,-1.90,1.00,48.3,0.000,-1.40
2003-01-03 03:30:00,-2.54,0.000,22.87,3.24,0.000,-1.70,1.00,66.1,0.000,-1.10
2003-01-03 04:30:00,-2.05,0.000,22.87,3.24,0.000,-1.10,2.00,80.3,0.000,-0.40
2003-01-03 05:30:00,-1.48,0.000,22.87,3.24,0.000,-0.70,2.00,92.4,0.000,-0.10
2003-01-03 06:30:00,-1.66,0.000,22.87,3.24,0.000,-1.00,2.00,103.6,0.000,-0.50
2003-01-03 07:30:00,-2.12,0.000,22.87,3.24,0.000,-1.30,2.00,114.6,0.000,-0.70
2003-01-03 08:30:00,-1.77,18.000,22.87,3.24,0.000,-1.10,2.00,125.9,18.000,-0.60
2003-01-03 09:30:00,-1.14,40.000,22.87,3.24,63.834,-0.50,2.00,137.9,34.000,0.00
2003-01-03 10:30:00,-1.92,88.000,22.87,3.24,122.230,-0.60,3.00,150.7,65.000,0.40
2003-01-03 11:30:00,-1.72,147.000,22.87,3.24,257.106,0.00,3.00,164.4,83.000,1.20
2003-01-03 12:30:00,-1.62,189.000,22.87,3.24,378.514,0.40,5.00,178.7,86.000,1.80
2003-01-03 13:30:00,-1.86,160.000,22.87,3.24,288.875,0.60,6.00,193.0,86.000,2.30
2003-01-03 14:30:00,-1.71,95.000,22.87,3.24,113.772,0.60,5.00,206.8,72.000,2.20
2003-01-03 15:30:00,-1.71,34.000,22.87,3.24,52.735,0.60,5.00,219.8,28.000,2.20
2003-01-03 16:30:00,-1.92,0.000,22.87,3.24,0.000,0.40,4.00,231.9,0.000,2.00
2003-01-03 17:30:00,-1.77,0.000,22.87,3.24,0.000,0.10,4.00,243.3,0.000,1.40
2003-01-03 18:30:00,-1.72,0.000,22.87,3.24,0.000,0.00,4.00,254.4,0.000,1.20
2003-01-03 19:30:00,-1.72,0.000,22.87,3.24,0.000,0.00,5.00,265.5,0.000,1.20
2003-01-03 20:30:00,-1.56,0.000,22.87,3.24,0.000,0.00,5.00,277.4,0.000,1.10
2003-01-03 21:30:00,-1.63,0.000,22.87,3.24,0.000,-0.10,4.00,291.0,0.000,1.10
2003-01-03 22:30:00,-1.56,0.000,22.87,3.24,0.000,0.00,5.00,308.0,0.000,1.10
2003-01-03 23:30:00,-1.72,0.000,22.87,3.24,0.000,0.00,5.00,330.0,0.000,1.20
2003-01-04 00:30:00,-1.41,0.000,22.87,3.24,0.000,0.00,5.00,357.3,0.000,1.00
2003-01-04 01:30:00,-1.41,0.000,22.70,2.72,0.000,0.00,5.00,25.0,0.000,1.00
2003-01-04 02:30:00,-1.11,0.000,22.70,2.72,0.000,0.00,5.00,48.1,0.000,0.80
2003-01-04 03:30:00,-1.27,0.000,22.70,2.72,0.000,0.00,6.00,65.9,0.000,0.90
2003-01-04 04:30:00,-1.27,0.000,22.70,2.72,0.000,0.00,6.00,80.1,0.000,0.90
2003-01-04 05:30:00,-1.41,0.000,22.70,2.72,0.000,0.00,5.00,92.2,0.000,1.00
2003-01-04 06:30:00,-1.46,0.000,22.70,2.72,0.000,0.10,4.00,103.5,0.000,1.20
2003-01-04 07:30:00,-1.56,0.000,22.70,2.72,0.000,-0.40,4.00,114.5,0.000,0.50
2003-01-04 08:30:00,-1.42,0.000,22.70,2.72,0.000,-0.40,3.00,125.8,0.000,0.40
2003-01-04 09:30:00,-1.30,50.000,22.70,2.72,211.257,-0.40,2.00,137.7,30.000,0.30
2003-01-04 10:30:00,-1.48,120.000,22.70,2.72,264.361,-0.20,3.00,150.6,70.000,0.80
2003-01-04 11:30:00,-1.77,150.000,22.70,2.72,259.799,0.10,3.00,164.3,85.000,1.40
2003-01-04 12:30:00,-2.02,150.000,22.70,2.72,237.500,0.60,4.00,178.6,85.000,2.40
2003-01-04 13:30:00,-2.71,130.000,22.70,2.72,193.793,0.70,4.00,192.9,80.000,3.00
2003-01-04 14:30:00,-3.64,110.000,22.70,2.72,171.376,0.50,4.00,206.7,75.000,3.20
2003-01-04 15:30:00,-4.31,70.000,22.70,2.72,258.581,0.10,3.00,219.8,40.000,2.90
2003-01-04 16:30:00,-4.58,20.000,22.70,2.72,0.000,-0.40,3.00,231.9,20.000,2.50
2003-01-04 17:30:00,-5.11,0.000,22.70,2.72,0.000,-1.30,1.00,243.3,0.000,1.20
2003-01-04 18:30:00,-4.09,0.000,22.70,2.72,0.000,-1.30,1.00,254.3,0.000,0.60
2003-01-04 19:30:00,-4.05,0.000,22.70,2.72,0.000,-1.40,2.00,265.5,0.000,0.40
2003-01-04 20:30:00,-3.88,0.000,22.70,2.72,0.000,-1.80,2.00,277.4,0.000,-0.40
2003-01-04 21:30:00,-3.14,0.000,22.70,2.72,0.000,-1.70,1.00,291.0,0.000,-0.70
2003-01-04 22:30:00,-2.86,0.000,22.70,2.72,0.000,-2.00,2.00,307.9,0.000,-1.40
2003-01-04 23:30:00,-2.98,0.000,22.70,2.72,0.000,-2.10,1.00,329.9,0.000,-1.50
2003-01-05 00:30:00,-2.86,0.000,22.70,2.72,0.000,-2.00,1.00,357.1,0.000,-1.40
2003-01-05 01:30:00,-2.50,0.000,22.57,2.34,0.000,-1.80,1.00,24.7,0.000,-1.30
2003-01-05 02:30:00,-2.91,0.000,22.57,2.34,0.000,-1.90,2.00,47.9,0.000,-1.20
2003-01-05 03:30:00,-2.78,0.000,22.57,2.34,0.000,-2.20,2.00,65.7,0.000,-1.80
2003-01-05 04:30:00,-2.88,0.000,22.57,2.34,0.000,-2.30,3.00,79.9,0.000,-1.90
2003-01-05 05:30:00,-3.51,0.000,22.57,2.34,0.000,-2.90,2.00,92.1,0.000,-2.50
2003-01-05 06:30:00,-3.61,0.000,22.57,2.34,0.000,-3.30,2.00,103.3,0.000,-3.10
2003-01-05 07:30:00,-3.72,0.000,22.57,2.34,0.000,-3.40,2.00,114.3,0.000,-3.20
2003-01-05 08:30:00,-3.87,20.000,22.57,2.34,0.000,-3.40,2.00,125.6,20.000,-3.10
2003-01-05 09:30:00,-4.10,80.000,22.57,2.34,261.854,-3.30,1.00,137.6,55.000,-2.80
2003-01-05 10:30:00,-2.09,150.000,22.57,2.34,394.266,-1.40,1.00,150.5,75.000,-0.90
2003-01-05 11:30:00,-1.62,205.000,22.57,2.34,516.717,-0.70,2.00,164.2,75.000,0.00
2003-01-05 12:30:00,-1.06,220.000,22.57,2.34,508.397,0.80,2.00,178.5,80.000,2.10
2003-01-05 13:30:00,-0.67,195.000,22.57,2.34,442.363,1.60,3.00,192.8,80.000,3.20
